date	count	status	host	path
2012-10-14	11	301	www.businesslink.gov.uk	/legitimate
2012-10-14	11	200	www.businesslink.gov.uk	/robots.txt
2012-10-14	11	200	www.businesslink.gov.uk	/sitemap.xml
2012-10-14	11	200	www.businesslink.gov.uk	/favicon.ico
2012-10-14	11	200	www.businesslink.gov.uk	/gone.css
2012-10-14	11	200	www.businesslink.gov.uk	/ie.css
2012-10-14	11	200	www.businesslink.gov.uk	/bis_crest_13px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/bis_crest_18px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/businesslink-logo-2x.png
2012-10-14	11	200	www.businesslink.gov.uk	/directgov-logo-2x.png
2012-10-14	11	200	www.businesslink.gov.uk	/govuk-crest.png
2012-10-14	11	200	www.businesslink.gov.uk	/govuk-logo.gif
2012-10-14	11	200	www.businesslink.gov.uk	/govuk-logo.png
2012-10-14	11	200	www.businesslink.gov.uk	/ho_crest_13px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/ho_crest_18px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/mod_crest_13px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/mod_crest_18px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/org_crest_13px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/org_crest_18px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/so_crest_13px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/so_crest_18px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/wales_crest_13px_x2.png
2012-10-14	11	200	www.businesslink.gov.uk	/wales_crest_18px_x2.png
